APMC,Variety,Unit,Quantity,Lrate,Hrate,Modal
KOLHAPUR,----,QUINTAL,13389,300,1100,700
CHHATRAPATI SAMBHAJINAGAR,----,QUINTAL,7534,200,700,450
MUMBAI-ONION AND POTATO MKT,----,QUINTAL,8872,700,1200,950
SHRIGONDA-CHIMBHLE,----,QUINTAL,5430,100,800,600
SATARA,----,QUINTAL,522,800,1200,1000
MANGALWEDHA,----,QUINTAL,316,120,1060,800
JUNNAR (NARAYANGAON),CHINCHWAD,QUINTAL,84,300,1100,800
AKLUJ,LAL,QUINTAL,722,200,1200,800
SOLAPUR,LAL,QUINTAL,135208,100,1300,500
YEOLA,LAL,QUINTAL,8000,150,750,650
YEOLA-AANDARSUL,LAL,QUINTAL,20573,150,799,550
DHULE,LAL,QUINTAL,3136,100,750,600
LASALGAON,LAL,QUINTAL,16422,200,851,651
LASALGAON-NIPHAD,LAL,QUINTAL,3200,351,760,671
LASALGAON-VINCHUR,LAL,QUINTAL,4000,400,900,675
JALGAON,LAL,QUINTAL,5886,275,700,525
DHARASHIV,LAL,QUINTAL,4680,110,800,455
MALEGAON-MUNGSE,LAL,QUINTAL,36000,205,843,700
NAGPUR,LAL,QUINTAL,2060,700,1100,1000
SINNER,LAL,QUINTAL,4515,100,851,600
SINNER-DODI BUDRUK,LAL,QUINTAL,23710,200,1000,650
SINNER-NAIGAON,LAL,QUINTAL,4877,200,850,700
CHALISGAON,LAL,QUINTAL,37730,100,661,550
CHANDVAD,LAL,QUINTAL,18000,200,940,610
MANMAD,LAL,QUINTAL,16000,100,670,550
SATANA,LAL,QUINTAL,2030,100,700,575
KOPARGAON,LAL,QUINTAL,5140,300,775,710
PARNER,LAL,QUINTAL,42899,100,1000,600
SAKRI,LAL,QUINTAL,90550,250,800,675
BHUSAVAL,LAL,QUINTAL,33,1000,1000,1000
YAWAL,LAL,QUINTAL,5783,430,710,500
GANGAPUR,LAL,QUINTAL,3600,150,650,550
VAIJAPUR,LAL,QUINTAL,21484,200,800,600
SANGLI-PHALE BHAJI PALA MRKT,LOCAL,QUINTAL,4797,200,1200,700
PUNE,LOCAL,QUINTAL,21062,300,900,600
PUNE-KHADKI,LOCAL,QUINTAL,3,1200,1200,1200
PUNE-PIMPRI,LOCAL,QUINTAL,101,600,800,700
KALYAN,No. 1,QUINTAL,3,1000,1300,1150
KARJAT (A- Nagar),No. 1,QUINTAL,5295,200,900,600
NAGPUR,PANDHRA,QUINTAL,2000,1000,1200,1150
NASHIK,POL,QUINTAL,3578,300,750,600
PIMPALGAON BASAWANT,POL,QUINTAL,12500,200,871,675
YEOLA,UNHALI,QUINTAL,2000,200,800,700
YEOLA-AANDARSUL,UNHALI,QUINTAL,2500,200,802,690
NASHIK,UNHALI,QUINTAL,367,450,1001,750
LASALGAON,UNHALI,QUINTAL,19200,500,1101,851
LASALGAON-NIPHAD,UNHALI,QUINTAL,1430,500,853,700
LASALGAON-VINCHUR,UNHALI,QUINTAL,2500,550,1050,850
SANGAMNER,UNHALI,QUINTAL,15616,200,1101,650
AMALNER,UNHALI,QUINTAL,60,701,751,751
SATANA,UNHALI,QUINTAL,2020,100,840,640
KOPARGAON,UNHALI,QUINTAL,4300,300,880,750
PIMPALGAON BASAWANT,UNHALI,QUINTAL,19500,300,1070,850
DINDORI,UNHALI,QUINTAL,403,631,966,800
